"Name","Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2018, <a href=""https://familiesusa.org/resources/federal-poverty-guidelines/"" target=""_blank"">the annual income thresholds for a family of four</a> would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,100&nbsp;<br />
100 to 199% FPL = $25,100 to $50,199<br />
Below 200% FPL = Below $50,200<br />
200 to 399% FPL = $50,200 to $100,399<br />
400% FPL and above = $100,400 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2005-2018). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Lower East Side,Below 200% FPL,2009,Number,74589,103
Lower East Side,200 to 399% FPL,2009,Number,35037,103
Lower East Side,400% FPL and above,2009,Number,47039,103
Lower East Side,Below 100% FPL,2010,Number,35736,103
Lower East Side,100 to 199% FPL,2010,Number,34519,103
Lower East Side,Below 200% FPL,2010,Number,70255,103
Lower East Side,200 to 399% FPL,2010,Number,32100,103
Lower East Side,400% FPL and above,2010,Number,54574,103
Lower East Side,Below 100% FPL,2011,Number,43027,103
Lower East Side,100 to 199% FPL,2011,Number,32422,103
Lower East Side,Below 200% FPL,2011,Number,75449,103
Lower East Side,200 to 399% FPL,2011,Number,34317,103
Lower East Side,400% FPL and above,2011,Number,50187,103
Lower East Side,Below 100% FPL,2012,Number,41946,103
Lower East Side,100 to 199% FPL,2012,Number,41141,103
Lower East Side,Below 200% FPL,2012,Number,83087,103
Lower East Side,200 to 399% FPL,2012,Number,32073,103
Lower East Side,400% FPL and above,2012,Number,44588,103
Lower East Side,Below 100% FPL,2013,Number,44037,103
Lower East Side,100 to 199% FPL,2013,Number,31450,103
