"Name","Family Income"
"Description","Families by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19101 (2005-2018); retrieved from https://data.census.gov/.&nbsp;"
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Concourse/Highbridge,"$50,000 to $74,999",2016,Number,5685,204
Concourse/Highbridge,"Under $15,000",2016,Number,7125,204
University Heights,"$200,000 or more",2016,Percent,0.003,205
University Heights,"$100,000 to $199,999",2016,Percent,0.05,205
University Heights,"$75,000 to $99,999",2016,Percent,0.074,205
University Heights,"$25,000 to $34,999",2016,Percent,0.084,205
University Heights,"$50,000 to $74,999",2016,Percent,0.169,205
University Heights,"$35,000 to $49,999",2016,Percent,0.171,205
University Heights,"$15,000 to $24,999",2016,Percent,0.213,205
University Heights,"Under $15,000",2016,Percent,0.236,205
University Heights,"$200,000 or more",2016,Number,78,205
University Heights,"$100,000 to $199,999",2016,Number,1500,205
University Heights,"$75,000 to $99,999",2016,Number,2246,205
University Heights,"$25,000 to $34,999",2016,Number,2547,205
University Heights,"$50,000 to $74,999",2016,Number,5097,205
University Heights,"$35,000 to $49,999",2016,Number,5171,205
University Heights,"$15,000 to $24,999",2016,Number,6450,205
University Heights,"Under $15,000",2016,Number,7139,205
East Tremont,"$200,000 or more",2016,Percent,0.008,206
East Tremont,"$75,000 to $99,999",2016,Percent,0.065,206
East Tremont,"$100,000 to $199,999",2016,Percent,0.074,206
East Tremont,"$25,000 to $34,999",2016,Percent,0.136,206
East Tremont,"$50,000 to $74,999",2016,Percent,0.147,206
East Tremont,"$35,000 to $49,999",2016,Percent,0.164,206
East Tremont,"$15,000 to $24,999",2016,Percent,0.176,206
East Tremont,"Under $15,000",2016,Percent,0.231,206
East Tremont,"$200,000 or more",2016,Number,145.054,206
East Tremont,"$75,000 to $99,999",2016,Number,1232.446,206
East Tremont,"$100,000 to $199,999",2016,Number,1415.806,206
East Tremont,"$25,000 to $34,999",2016,Number,2593.091,206
East Tremont,"$50,000 to $74,999",2016,Number,2799.946,206
East Tremont,"$35,000 to $49,999",2016,Number,3122.742,206
East Tremont,"$15,000 to $24,999",2016,Number,3350.537,206
East Tremont,"Under $15,000",2016,Number,4412.392,206
Bedford Park,"$200,000 or more",2016,Percent,0.006,207
Bedford Park,"$75,000 to $99,999",2016,Percent,0.056,207
Bedford Park,"$100,000 to $199,999",2016,Percent,0.1,207
Bedford Park,"Under $15,000",2016,Percent,0.15,207
Bedford Park,"$25,000 to $34,999",2016,Percent,0.165,207
Bedford Park,"$35,000 to $49,999",2016,Percent,0.172,207
Bedford Park,"$15,000 to $24,999",2016,Percent,0.175,207
Bedford Park,"$50,000 to $74,999",2016,Percent,0.176,207
Bedford Park,"$200,000 or more",2016,Number,199,207
Bedford Park,"$75,000 to $99,999",2016,Number,1774,207
Bedford Park,"$100,000 to $199,999",2016,Number,3183,207
Bedford Park,"Under $15,000",2016,Number,4805,207
Bedford Park,"$25,000 to $34,999",2016,Number,5269,207
Bedford Park,"$35,000 to $49,999",2016,Number,5505,207
Bedford Park,"$15,000 to $24,999",2016,Number,5596,207
Bedford Park,"$50,000 to $74,999",2016,Number,5623,207
Riverdale,"$25,000 to $34,999",2016,Percent,0.046,208
Riverdale,"Under $15,000",2016,Percent,0.064,208
Riverdale,"$200,000 or more",2016,Percent,0.093,208
Riverdale,"$75,000 to $99,999",2016,Percent,0.111,208
Riverdale,"$35,000 to $49,999",2016,Percent,0.119,208
Riverdale,"$15,000 to $24,999",2016,Percent,0.15,208
Riverdale,"$50,000 to $74,999",2016,Percent,0.169,208
Riverdale,"$100,000 to $199,999",2016,Percent,0.246,208
Riverdale,"$25,000 to $34,999",2016,Number,1178,208
Riverdale,"Under $15,000",2016,Number,1629,208
Riverdale,"$200,000 or more",2016,Number,2369,208
Riverdale,"$75,000 to $99,999",2016,Number,2820,208
Riverdale,"$35,000 to $49,999",2016,Number,3026,208
Riverdale,"$15,000 to $24,999",2016,Number,3809,208
Riverdale,"$50,000 to $74,999",2016,Number,4292,208
