"Name","Household Income"
"Description","Households by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19001 (2005-2018); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
South Beach,"$15,000 to $24,999",2005,Percent,0.12148,502
Tottenville,"$15,000 to $24,999",2005,Percent,0.06526,503
Bronx,"$15,000 to $24,999",2005,Percent,0.14168,36005
Brooklyn,"$15,000 to $24,999",2005,Percent,0.12401,36047
Manhattan,"$15,000 to $24,999",2005,Percent,0.09054,36061
Queens,"$15,000 to $24,999",2005,Percent,0.11576,36081
Staten Island,"$15,000 to $24,999",2005,Percent,0.09752,36085
New York City,"$15,000 to $24,999",2005,Percent,0.1151,3651000
Battery Park/Tribeca,"$200,000 or more",2005,Number,5041.99061,101
Greenwich Village,"$200,000 or more",2005,Number,7443.00939,102
Lower East Side,"$200,000 or more",2005,Number,1723,103
Chelsea/Clinton,"$200,000 or more",2005,Number,7497.55516,104
Midtown Business District,"$200,000 or more",2005,Number,3752.44484,105
Murray Hill/Stuyvesant,"$200,000 or more",2005,Number,14275,106
Upper West Side,"$200,000 or more",2005,Number,25137,107
Upper East Side,"$200,000 or more",2005,Number,25742,108
Manhattanville,"$200,000 or more",2005,Number,2435,109
Central Harlem,"$200,000 or more",2005,Number,379,110
East Harlem,"$200,000 or more",2005,Number,2204,111
Washington Heights,"$200,000 or more",2005,Number,1192,112
Mott Haven,"$200,000 or more",2005,Number,33.09966,201
Hunts Point,"$200,000 or more",2005,Number,18.90034,202
Morrisania,"$200,000 or more",2005,Number,204.5054,203
Concourse/Highbridge,"$200,000 or more",2005,Number,63,204
University Heights,"$200,000 or more",2005,Number,151,205
East Tremont,"$200,000 or more",2005,Number,213.4946,206
Bedford Park,"$200,000 or more",2005,Number,0,207
Riverdale,"$200,000 or more",2005,Number,993,208
Unionport/Soundview,"$200,000 or more",2005,Number,659,209
Throgs Neck,"$200,000 or more",2005,Number,823,210
Pelham Parkway,"$200,000 or more",2005,Number,271,211
Williamsbridge,"$200,000 or more",2005,Number,264,212
Williamsburg/Greenpoint,"$200,000 or more",2005,Number,459,301
Fort Greene/Brooklyn Hts,"$200,000 or more",2005,Number,3221,302
Bedford Stuyvesant,"$200,000 or more",2005,Number,285,303
Bushwick,"$200,000 or more",2005,Number,202,304
East New York,"$200,000 or more",2005,Number,47,305
Park Slope,"$200,000 or more",2005,Number,5027,306
Sunset Park,"$200,000 or more",2005,Number,926,307
Crown Heights North,"$200,000 or more",2005,Number,959,308
Crown Heights South,"$200,000 or more",2005,Number,725,309
Bay Ridge,"$200,000 or more",2005,Number,2172,310
Bensonhurst,"$200,000 or more",2005,Number,508,311
Borough Park,"$200,000 or more",2005,Number,663,312
Coney Island,"$200,000 or more",2005,Number,660,313
Flatbush/Midwood,"$200,000 or more",2005,Number,1481,314
Sheepshead Bay,"$200,000 or more",2005,Number,1585,315
Brownsville,"$200,000 or more",2005,Number,42,316
East Flatbush,"$200,000 or more",2005,Number,505,317
Canarsie,"$200,000 or more",2005,Number,559,318
Astoria,"$200,000 or more",2005,Number,619,401
Sunnyside/Woodside,"$200,000 or more",2005,Number,549,402
Jackson Heights,"$200,000 or more",2005,Number,741,403
Elmhurst/Corona,"$200,000 or more",2005,Number,304,404
Ridgewood/Glendale,"$200,000 or more",2005,Number,697,405
Rego Park/Forest Hills,"$200,000 or more",2005,Number,1163,406
Flushing,"$200,000 or more",2005,Number,1889,407
Fresh Meadows/Briarwood,"$200,000 or more",2005,Number,1038,408
Woodhaven,"$200,000 or more",2005,Number,563,409
